City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
82,Lorengau,PG,-2.0226,147.2712,83.95,75,100,15.52,light rain,0.0,0.0
83,Bethel,US,41.3712,-73.414,47.53,65,0,0.0,clear sky,0.0,0.0
84,Saint-Philippe,RE,-21.3585,55.7679,76.59,88,71,11.1,light rain,0.0,0.0
85,Berdigestyakh,RU,62.0989,126.6992,15.85,82,100,12.01,overcast clouds,0.0,0.0
86,Mirnyy,RU,62.5353,113.9611,15.24,61,98,8.99,overcast clouds,0.0,0.0
87,Sayyan,YE,15.1718,44.3244,53.69,17,27,4.41,scattered clouds,0.0,0.0
88,Maragogi,BR,-9.0122,-35.2225,76.82,78,9,3.11,clear sky,0.0,0.0
89,Dakar,SN,14.6937,-17.4441,65.28,88,0,17.96,clear sky,0.0,0.0
90,Vila,PT,42.0304,-8.1588,32.88,83,81,4.88,broken clouds,0.0,0.0
91,Chokurdakh,RU,70.6333,147.9167,-5.91,91,15,10.07,few clouds,0.0,0.0
92,Odessa,UA,46.4775,30.7326,39.97,87,1,13.98,clear sky,0.0,0.0
93,Lepe,ES,37.2548,-7.2043,49.1,85,100,23.49,light rain,0.0,0.0
94,Ilulissat,GL,69.2167,-51.1,26.62,74,60,5.75,broken clouds,0.0,0.0
95,Yhu,PY,-25.05,-55.9167,68.2,99,52,3.33,broken clouds,0.0,0.0
96,Terrak,NO,65.087,12.3715,24.67,92,94,4.25,overcast clouds,0.0,0.0
97,Leshukonskoye,RU,64.8989,45.7622,14.07,95,46,3.11,scattered clouds,0.0,0.0
98,Mananjary,MG,-21.2167,48.3333,71.87,92,20,4.12,few clouds,0.0,0.0
99,Garowe,SO,8.4054,48.4845,68.9,87,47,6.49,scattered clouds,0.0,0.0
100,Vilhena,BR,-12.7406,-60.1458,67.44,98,41,1.7,light rain,0.0,0.0
101,Fairbanks,US,64.8378,-147.7164,22.3,55,0,8.05,clear sky,0.0,0.0
102,Romitan,UZ,39.9343,64.3814,62.55,48,0,4.61,clear sky,0.0,0.0
103,Maneadero,MX,31.7167,-116.5667,60.1,84,8,3.94,clear sky,0.0,0.0
104,College,US,64.8569,-147.8028,22.28,55,75,8.05,broken clouds,0.0,0.0
105,Mataura,NZ,-46.1927,168.8643,66.25,67,100,1.86,overcast clouds,0.0,0.0
106,Nampula,MZ,-15.1165,39.2666,71.55,100,20,5.75,few clouds,0.0,0.0
107,Saryozek,KZ,44.3583,77.9753,61.92,29,95,3.96,overcast clouds,0.0,0.0
108,Meulaboh,ID,4.1363,96.1285,81.72,73,99,2.15,overcast clouds,0.0,0.0
109,Mlimba,TZ,-8.8,35.8167,70.86,91,58,2.04,broken clouds,0.0,0.0
110,Carupano,VE,10.6678,-63.2585,75.25,89,9,11.86,clear sky,0.0,0.0
111,Ostrov,RU,57.3439,28.3537,33.53,94,100,21.45,light snow,0.0,0.0
112,Tripoli,LY,32.8752,13.1875,61.3,88,100,9.62,overcast clouds,0.0,0.0
113,Saint George,US,37.1041,-113.5841,75.63,15,0,4.61,clear sky,0.0,0.0
114,Busselton,AU,-33.65,115.3333,67.93,42,0,7.4,clear sky,0.0,0.0
115,Cockburn Town,TC,21.4612,-71.1419,77.9,81,0,16.08,clear sky,0.0,0.0
116,Port Alfred,ZA,-33.5906,26.891,62.51,78,0,8.95,clear sky,0.0,0.0
117,Dawei,MM,14.0833,98.2,89.38,40,83,6.04,broken clouds,0.0,0.0
118,Mahebourg,MU,-20.4081,57.7,79.25,94,75,5.75,broken clouds,0.0,0.0
119,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,24.16,few clouds,0.0,0.0
120,Salvador,SV,13.8333,-88.9167,72.0,80,90,2.42,overcast clouds,0.0,0.0
121,Kamenka,RU,51.3223,42.7678,30.22,80,32,6.49,scattered clouds,0.0,0.0
122,Bredasdorp,ZA,-34.5322,20.0403,57.11,84,17,5.7,few clouds,0.0,0.0
123,Khash,IR,28.2211,61.2158,68.32,17,27,1.74,scattered clouds,0.0,0.0
124,Khatanga,RU,71.9667,102.5,-2.72,84,22,7.38,few clouds,0.0,0.0
125,Madison,US,34.7334,-86.5667,62.73,64,0,4.61,clear sky,0.0,0.0
126,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,75,4.61,broken clouds,0.0,0.0
127,Buhoci,RO,46.5667,27.0167,32.25,64,0,5.99,clear sky,0.0,0.0
128,Port Elizabeth,ZA,-33.918,25.5701,65.32,72,0,10.36,clear sky,0.0,0.0
129,Hofn,IS,64.2539,-15.2082,27.52,58,100,13.35,overcast clouds,0.0,0.0
130,Vestmannaeyjar,IS,63.4427,-20.2734,35.2,75,100,20.02,overcast clouds,0.0,0.0
131,Tiznit,MA,29.5833,-9.5,51.24,69,91,13.47,overcast clouds,0.0,0.0
132,Geraldton,AU,-28.7667,114.6,77.41,57,0,18.41,clear sky,0.0,0.0
133,Dhidhdhoo,MV,6.8833,73.1,83.12,68,25,1.5,scattered clouds,0.0,0.0
134,Port Macquarie,AU,-31.4333,152.9167,79.9,57,0,7.34,clear sky,0.0,0.0
135,Guarapari,BR,-20.6667,-40.4975,75.88,89,0,5.08,clear sky,0.0,0.0
136,Teguldet,RU,57.3064,88.1667,37.33,96,100,7.67,overcast clouds,0.0,0.0
137,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,77,0,17.27,clear sky,0.0,0.0
138,Cururupu,BR,-1.8283,-44.8683,74.53,96,100,2.26,moderate rain,0.0,0.0
139,Hithadhoo,MV,-0.6,73.0833,82.69,67,6,1.77,clear sky,0.0,0.0
140,Tasiilaq,GL,65.6145,-37.6368,14.16,91,95,5.82,overcast clouds,0.0,0.0
141,Abu Samrah,SY,35.3029,37.1841,57.31,36,30,4.5,scattered clouds,0.0,0.0
142,Sinnamary,GF,5.3833,-52.95,77.32,86,99,8.77,overcast clouds,0.0,0.0
143,Bom Jesus,BR,-9.0744,-44.3586,76.28,53,47,0.74,scattered clouds,0.0,0.0
144,Port Hedland,AU,-20.3167,118.5667,100.45,27,1,4.61,clear sky,0.0,0.0
145,Aasiaat,GL,68.7098,-52.8699,22.84,96,92,8.32,overcast clouds,0.0,0.0
146,Zyryanka,RU,65.75,150.85,7.05,83,100,7.23,overcast clouds,0.0,0.0
147,Christchurch,NZ,-43.5333,172.6333,69.48,78,20,6.91,few clouds,0.0,0.0
148,Jardim,BR,-21.4803,-56.1381,74.91,74,40,3.2,scattered clouds,0.0,0.0
149,Alofi,NU,-19.0595,-169.9187,73.29,94,100,5.75,thunderstorm with rain,0.0,0.0
150,Culasi,PH,11.4272,122.056,84.2,72,100,10.85,overcast clouds,0.0,0.0
151,Medea,DZ,36.2642,2.7539,46.54,88,44,1.68,scattered clouds,0.0,0.0
152,Hammerfest,NO,70.6634,23.6821,19.85,79,72,9.22,broken clouds,0.0,0.0
153,Carnarvon,AU,-24.8667,113.6333,84.27,58,0,10.36,clear sky,0.0,0.0
154,Pevek,RU,69.7008,170.3133,-7.42,89,60,1.66,broken clouds,0.0,0.0
155,Bandundu,CD,-3.3167,17.3667,73.04,94,100,1.05,overcast clouds,0.0,0.0
156,Mantua,IT,45.1667,10.7833,38.44,86,3,1.99,clear sky,0.0,0.0
157,Luderitz,NA,-26.6481,15.1594,58.08,80,0,6.55,clear sky,0.0,0.0
158,Mumford,GH,5.2618,-0.759,80.74,85,100,7.87,overcast clouds,0.0,0.0
159,Zhangdian,CN,34.2,119.3,62.87,50,100,8.03,overcast clouds,0.0,0.0
160,Newport,GB,51.5877,-2.9984,53.26,85,99,9.71,overcast clouds,0.0,0.0
161,Iqaluit,CA,63.7506,-68.5145,4.73,77,40,15.01,scattered clouds,0.0,0.0
162,San Patricio,US,28.017,-97.5169,76.89,86,43,10.11,scattered clouds,0.0,0.0
163,Fort Nelson,CA,58.8053,-122.7002,33.39,60,20,8.05,few clouds,0.0,0.0
164,Souillac,MU,-20.5167,57.5167,77.38,94,75,5.75,broken clouds,0.0,0.0
165,Pushkino,RU,56.0172,37.8667,32.29,95,27,6.29,scattered clouds,0.0,0.0
166,Huarmey,PE,-10.0681,-78.1522,70.38,83,81,8.23,broken clouds,0.0,0.0
167,Dikson,RU,73.5069,80.5464,4.87,81,50,16.06,scattered clouds,0.0,0.0
168,Saskylakh,RU,71.9167,114.0833,-3.73,94,99,8.43,overcast clouds,0.0,0.0
169,Tateyama,JP,34.9833,139.8667,55.33,82,86,20.65,overcast clouds,0.0,0.0
170,Noumea,NC,-22.2763,166.4572,84.0,99,100,2.39,very heavy rain,0.0,0.0
171,Riesi,IT,37.2819,14.0823,47.84,83,68,7.85,broken clouds,0.0,0.0
172,Gawler,AU,-34.6,138.7333,77.22,36,100,8.03,overcast clouds,0.0,0.0
173,Codrington,AU,-38.2667,141.9667,63.09,57,100,8.05,overcast clouds,0.0,0.0
174,Upernavik,GL,72.7868,-56.1549,18.09,82,100,5.84,overcast clouds,0.0,0.0
175,Kalyazin,RU,57.2403,37.8433,27.01,66,59,8.77,broken clouds,0.0,0.0
176,Rio Gallegos,AR,-51.6226,-69.2181,35.65,75,0,17.27,clear sky,0.0,0.0
177,Somerset East,ZA,-32.7217,25.588,56.44,59,0,6.69,clear sky,0.0,0.0
178,Dunedin,NZ,-45.8742,170.5036,63.81,87,100,7.0,overcast clouds,0.0,0.0
179,Faanui,PF,-16.4833,-151.75,83.19,74,9,17.47,clear sky,0.0,0.0
180,Krivodol,BG,43.3744,23.4844,39.09,69,41,3.27,scattered clouds,0.0,0.0
181,Inhambane,MZ,-23.865,35.3833,73.22,70,22,8.01,few clouds,0.0,0.0
182,Marinette,US,45.1,-87.6307,34.25,99,100,0.0,haze,0.0,0.0
183,Talcahuano,CL,-36.7167,-73.1167,53.28,82,0,9.22,clear sky,0.0,0.0
184,Champerico,GT,14.3,-91.9167,83.08,68,77,5.73,broken clouds,0.0,0.0
185,Taonan,CN,45.3333,122.7833,44.08,15,0,19.66,clear sky,0.0,0.0
186,Roald,NO,62.5833,6.1333,33.75,93,20,2.3,few clouds,0.0,0.0
187,Tshikapa,CD,-6.4167,20.8,68.18,95,100,0.11,overcast clouds,0.0,0.0
188,Burayevo,RU,55.8407,55.4083,29.59,93,100,17.0,overcast clouds,0.0,0.0
189,Kodiak,US,57.79,-152.4072,38.71,45,100,3.44,overcast clouds,0.0,0.0
190,Esperance,AU,-33.8667,121.9,65.84,62,60,12.86,broken clouds,0.0,0.0
191,Dodge City,US,37.7528,-100.0171,52.05,54,0,17.27,clear sky,0.0,0.0
192,Letpadan,MM,17.7833,95.75,91.35,37,44,5.06,scattered clouds,0.0,0.0
193,Aitape,PG,-3.1374,142.3475,83.21,72,100,2.01,light rain,0.0,0.0
194,Svetlogorsk,BY,52.6333,29.7333,32.4,62,100,16.6,overcast clouds,0.0,0.0
195,Miquelon,PM,47.0975,-56.3814,35.56,94,100,25.32,overcast clouds,0.0,0.0
196,Tchaourou,BJ,8.8865,2.5975,76.51,80,100,5.01,overcast clouds,0.0,0.0
197,Vao,NC,-22.6667,167.4833,78.82,85,100,13.67,moderate rain,0.0,0.0
198,Sola,VU,-13.8833,167.55,86.67,74,100,5.75,overcast clouds,0.0,0.0
199,Kavieng,PG,-2.5744,150.7967,83.35,75,100,9.75,moderate rain,0.0,0.0
200,Pizarro,CO,4.9533,-77.366,78.21,89,100,1.9,light rain,0.0,0.0
201,Ahuimanu,US,21.4447,-157.8378,76.71,71,100,17.27,overcast clouds,0.0,0.0
202,Samfya,ZM,-11.3649,29.5565,64.92,93,95,4.65,light rain,0.0,0.0
203,Laguna,US,38.421,-121.4238,66.61,73,0,9.22,clear sky,0.0,0.0
204,Bayanday,RU,53.0661,105.5139,25.0,68,81,4.32,broken clouds,0.0,0.0
205,Caravelas,BR,-17.7125,-39.2481,75.74,83,0,3.2,clear sky,0.0,0.0
206,San Cristobal,VE,7.7669,-72.225,73.58,86,45,2.59,scattered clouds,0.0,0.0
207,Sungaipenuh,ID,-2.0833,101.3833,79.77,50,54,2.26,broken clouds,0.0,0.0
208,Bud,US,39.447,-86.1758,51.94,76,100,4.88,overcast clouds,0.0,0.0
209,Katiola,CI,8.1333,-5.1,76.87,85,91,2.95,overcast clouds,0.0,0.0
210,Kloulklubed,PW,7.0419,134.2556,81.1,76,99,2.82,overcast clouds,0.0,0.0
211,Rantauprapat,ID,2.1,99.8333,82.67,68,99,0.89,overcast clouds,0.0,0.0
212,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,88,40,5.39,scattered clouds,0.0,0.0
213,Cuencame,MX,24.8711,-103.6964,71.04,18,22,23.2,few clouds,0.0,0.0
214,Lekoni,GA,-1.5843,14.2591,70.97,91,92,3.62,overcast clouds,0.0,0.0
215,Samarai,PG,-10.6167,150.6667,84.18,73,96,18.48,overcast clouds,0.0,0.0
216,Barreirinha,BR,-2.7933,-57.07,72.86,98,100,1.48,overcast clouds,0.0,0.0
217,Chuy,UY,-33.6971,-53.4616,54.43,64,0,3.78,clear sky,0.0,0.0
218,Asau,RO,46.4333,26.4,29.32,85,2,6.06,clear sky,0.0,0.0
219,Suluq,LY,31.6682,20.2521,73.06,19,32,10.38,scattered clouds,0.0,0.0
220,Great Falls,US,47.5002,-111.3008,38.41,69,75,20.71,broken clouds,0.0,0.0
221,Strelka,RU,58.0728,93.0344,29.25,96,100,6.38,overcast clouds,0.0,0.0
222,Cabo San Lucas,MX,22.8909,-109.9124,69.62,69,100,4.0,overcast clouds,0.0,0.0
223,Sitka,US,57.0531,-135.33,42.69,70,100,13.8,overcast clouds,0.0,0.0
224,Thompson,CA,55.7435,-97.8558,33.96,55,0,4.61,clear sky,0.0,0.0
225,Kawalu,ID,-7.3817,108.2082,85.33,61,40,2.53,scattered clouds,0.0,0.0
226,Tallahassee,US,30.4383,-84.2807,63.32,84,0,0.0,clear sky,0.0,0.0
227,Lavrentiya,RU,65.5833,-171.0,1.08,84,12,11.01,few clouds,0.0,0.0
228,Nanortalik,GL,60.1432,-45.2371,33.4,82,100,4.41,overcast clouds,0.0,0.0
229,Lagoa,PT,39.05,-27.9833,59.02,72,61,8.72,broken clouds,0.0,0.0
230,San Juan,AR,-31.5375,-68.5364,63.45,35,0,1.25,clear sky,0.0,0.0
231,Haines Junction,CA,60.7522,-137.5108,33.75,51,27,9.22,scattered clouds,0.0,0.0
232,Bilma,NE,18.6853,12.9164,81.34,7,14,6.51,few clouds,0.0,0.0
233,Vostok,RU,46.4856,135.8833,54.57,53,62,11.54,broken clouds,0.0,0.0
234,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,65,94,3.91,overcast clouds,0.0,0.0
235,Kodinsk,RU,58.6881,99.1844,25.11,84,100,8.72,overcast clouds,0.0,0.0
236,San Joaquin,US,37.9333,-121.3011,66.45,63,0,19.57,clear sky,0.0,0.0
237,Kaeo,NZ,-35.1,173.7833,69.6,89,100,7.67,overcast clouds,0.0,0.0
238,Edgewater,US,28.9889,-80.9023,72.0,75,2,10.71,clear sky,0.0,0.0
239,Chumikan,RU,54.7183,135.315,29.28,60,100,4.25,overcast clouds,0.0,0.0
240,Iquique,CL,-20.2208,-70.1431,64.44,75,45,0.56,scattered clouds,0.0,0.0
