City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
79,Nikolskoye,RU,2022-02-03 02:16:13,59.7035,30.7861,17.49,100,94,1.63,light snow
80,Porto Santo,PT,2022-02-03 02:19:13,33.072,-16.3415,66.31,88,40,9.22,scattered clouds
81,Portland,US,2022-02-03 02:18:58,45.5234,-122.6762,46.15,95,100,1.99,mist
82,Luoyang,CN,2022-02-03 02:19:14,34.6836,112.4536,37.83,58,100,2.91,overcast clouds
83,Cabo San Lucas,MX,2022-02-03 02:14:47,22.8909,-109.9124,72.52,69,100,6.91,overcast clouds
84,Comodoro Rivadavia,AR,2022-02-03 02:18:07,-45.8667,-67.5,73.26,33,0,5.75,clear sky
85,Kodiak,US,2022-02-03 02:16:12,57.79,-152.4072,38.71,87,100,13.8,light rain
86,Lavrentiya,RU,2022-02-03 02:19:16,65.5833,-171.0,1.36,64,1,21.3,clear sky
87,Semporna,MY,2022-02-03 02:19:16,4.4818,118.6112,86.2,74,80,5.66,broken clouds
88,Muros,ES,2022-02-03 02:19:17,42.7762,-9.0603,47.84,90,100,8.23,overcast clouds
89,Alakurtti,RU,2022-02-03 02:19:17,66.9672,30.3491,7.65,95,100,3.65,overcast clouds
90,Fort Myers,US,2022-02-03 02:16:38,26.6217,-81.8406,69.94,71,0,8.05,clear sky
91,Anloga,GH,2022-02-03 02:19:18,5.7947,0.8973,80.26,80,17,9.91,few clouds
92,Vila Franca Do Campo,PT,2022-02-03 02:19:19,37.7167,-25.4333,60.19,81,42,8.08,scattered clouds
93,College,US,2022-02-03 02:17:04,64.8569,-147.8028,-20.0,69,20,0.0,few clouds
94,Vostok,RU,2022-02-03 02:19:19,46.4856,135.8833,2.43,83,100,5.99,overcast clouds
95,Khatanga,RU,2022-02-03 02:19:20,71.9667,102.5,-35.68,99,35,2.19,scattered clouds
96,Tasiilaq,GL,2022-02-03 02:14:55,65.6145,-37.6368,10.56,79,97,6.42,overcast clouds
97,Opuwo,NA,2022-02-03 02:20:21,-18.0607,13.84,61.68,65,4,2.91,clear sky
98,Qaanaaq,GL,2022-02-03 02:16:26,77.484,-69.3632,-10.62,82,100,6.8,overcast clouds
99,Bethel,US,2022-02-03 02:20:25,41.3712,-73.414,39.33,89,100,0.0,overcast clouds
100,Shenjiamen,CN,2022-02-03 02:20:25,29.9576,122.298,45.86,70,100,15.55,moderate rain
101,Vallenar,CL,2022-02-03 02:20:26,-28.5708,-70.7581,68.59,60,0,2.21,clear sky
102,Sinamar,PH,2022-02-03 02:20:26,16.9,121.5667,75.58,76,3,1.7,clear sky
103,Leh,IN,2022-02-03 02:20:27,34.1667,77.5833,9.82,93,100,2.21,light snow
104,Chokurdakh,RU,2022-02-03 02:20:27,70.6333,147.9167,-21.75,98,86,6.76,overcast clouds
105,Touros,BR,2022-02-03 02:20:28,-5.1989,-35.4608,79.7,77,49,11.45,scattered clouds
106,Jiaocheng,CN,2022-02-03 02:20:28,24.6774,116.1389,46.22,95,100,1.88,light rain
107,Coari,BR,2022-02-03 02:20:30,-4.085,-63.1414,74.12,98,100,2.44,light rain
108,Tambun,ID,2022-02-03 02:20:30,-6.2641,107.0712,88.41,74,40,5.75,haze
109,Vestmannaeyjar,IS,2022-02-03 02:20:31,63.4427,-20.2734,30.02,78,99,13.24,overcast clouds
110,Airai,TL,2022-02-03 02:19:11,-8.9266,125.4092,69.55,70,99,4.14,overcast clouds
111,Artyom,AZ,2022-02-03 02:20:31,40.4723,50.333,48.34,75,92,20.02,overcast clouds
112,Stromness,GB,2022-02-03 02:20:32,58.965,-3.296,46.65,93,100,24.14,light rain
113,Bluff,NZ,2022-02-03 02:20:32,-46.6,168.3333,58.8,63,100,16.87,overcast clouds
114,Moose Factory,CA,2022-02-03 02:20:33,51.2585,-80.6094,-16.6,76,0,5.75,clear sky
115,Teberda,RU,2022-02-03 02:20:33,43.4456,41.7448,30.16,72,38,8.59,scattered clouds
116,Kruisfontein,ZA,2022-02-03 02:20:34,-34.0033,24.7314,68.88,86,100,10.31,overcast clouds
117,Apango,MX,2022-02-03 02:20:34,17.7333,-99.3333,74.25,65,33,8.9,scattered clouds
118,Mount Isa,AU,2022-02-03 02:20:35,-20.7333,139.5,83.97,70,75,11.5,broken clouds
119,Sola,VU,2022-02-03 02:20:35,-13.8833,167.55,81.32,76,100,10.2,overcast clouds
120,Whitehorse,CA,2022-02-03 02:20:36,60.7161,-135.0538,-4.7,68,75,4.0,broken clouds
121,Kieta,PG,2022-02-03 02:20:36,-6.2167,155.6333,81.55,83,100,14.43,moderate rain
122,Upernavik,GL,2022-02-03 02:20:25,72.7868,-56.1549,-8.57,66,100,8.3,overcast clouds
123,Green River,US,2022-02-03 02:20:14,41.5286,-109.4662,12.97,40,48,7.0,scattered clouds
124,Orumiyeh,IR,2022-02-03 02:20:37,37.5527,45.0761,22.55,80,100,4.61,overcast clouds
125,Barrow,US,2022-02-03 02:18:04,71.2906,-156.7887,-20.18,69,75,0.0,broken clouds
126,San Patricio,US,2022-02-03 02:20:38,28.017,-97.5169,72.01,80,100,6.06,overcast clouds
127,Sambava,MG,2022-02-03 02:20:38,-14.2667,50.1667,74.41,86,100,3.62,overcast clouds
128,Puerto Ayora,EC,2022-02-03 02:20:39,-0.7393,-90.3518,74.55,93,0,1.99,clear sky
129,Hithadhoo,MV,2022-02-03 02:20:40,-0.6,73.0833,81.36,70,8,3.27,clear sky
130,Kaitangata,NZ,2022-02-03 02:20:40,-46.2817,169.8464,53.71,96,100,3.58,overcast clouds
131,Chapais,CA,2022-02-03 02:20:40,49.7834,-74.8492,6.58,92,100,7.92,overcast clouds
132,Rawson,AR,2022-02-03 02:20:41,-43.3002,-65.1023,67.51,55,79,7.65,broken clouds
133,Bikaner,IN,2022-02-03 02:20:41,28.0167,73.3,56.32,57,0,14.0,clear sky
134,Victoria,HK,2022-02-03 02:20:04,22.2855,114.1577,56.32,81,100,4.0,light rain
135,Sompeta,IN,2022-02-03 02:20:42,18.9333,84.6,71.31,80,22,5.23,few clouds
136,Tianpeng,CN,2022-02-03 02:20:42,30.9866,103.9393,37.87,71,8,1.95,clear sky
137,Vardo,NO,2022-02-03 02:20:43,70.3705,31.1107,29.57,56,100,19.44,light snow
138,Oktyabrskiy,RU,2022-02-03 02:20:43,54.4815,53.471,28.36,95,100,14.23,light snow
139,Bilma,NE,2022-02-03 02:19:58,18.6853,12.9164,54.09,29,0,14.23,clear sky
140,Bredasdorp,ZA,2022-02-03 02:20:44,-34.5322,20.0403,59.29,80,0,6.17,clear sky
141,Petropavlovsk-Kamchatskiy,RU,2022-02-03 02:20:45,53.0452,158.6483,30.79,64,75,13.42,broken clouds
142,Yining,CN,2022-02-03 02:21:45,29.0361,114.5636,37.33,89,100,0.81,overcast clouds
143,Domoni,KM,2022-02-03 02:21:46,-12.2569,44.5319,79.16,85,57,5.37,light rain
144,Sitka,US,2022-02-03 02:21:46,57.0531,-135.33,37.29,100,100,4.61,mist
145,Srednekolymsk,RU,2022-02-03 02:21:47,67.45,153.6833,-22.5,98,100,2.04,overcast clouds
146,Jamestown,US,2022-02-03 02:20:24,42.097,-79.2353,38.52,60,100,4.0,light rain
147,Hilo,US,2022-02-03 02:20:51,19.7297,-155.09,77.25,76,100,10.36,overcast clouds
148,Farafangana,MG,2022-02-03 02:21:48,-22.8167,47.8333,73.29,80,41,6.42,scattered clouds
149,Botwood,CA,2022-02-03 02:21:48,49.1499,-55.3482,23.9,78,73,13.62,broken clouds
150,Sorland,NO,2022-02-03 02:21:49,67.667,12.6934,27.75,58,100,10.31,overcast clouds
151,Mabopane,ZA,2022-02-03 02:21:50,-25.4977,28.1007,73.15,50,1,4.97,clear sky
152,Atasu,KZ,2022-02-03 02:18:35,48.6814,71.6433,9.09,84,100,5.23,overcast clouds
153,Dobric,RS,2022-02-03 02:21:51,44.7019,19.5814,39.09,80,86,10.98,overcast clouds
154,Georgetown,MY,2022-02-03 02:19:10,5.4112,100.3354,85.93,83,20,1.01,few clouds
155,Chambersburg,US,2022-02-03 02:21:52,39.9376,-77.6611,43.41,71,100,1.01,overcast clouds
156,Saint Anthony,US,2022-02-03 02:21:52,45.0205,-93.218,2.25,62,0,4.0,clear sky
157,Leningradskiy,RU,2022-02-03 02:21:53,69.3833,178.4167,-13.22,93,25,9.55,scattered clouds
158,Taltal,CL,2022-02-03 02:20:20,-25.4,-70.4833,68.47,72,0,3.18,clear sky
159,Ola,RU,2022-02-03 02:21:53,59.5833,151.2833,13.57,76,100,10.92,overcast clouds
160,Tessalit,ML,2022-02-03 02:21:54,20.1986,1.0114,58.89,15,16,11.34,few clouds
161,Negara,ID,2022-02-03 02:21:54,-8.3151,114.6025,83.95,67,10,0.85,clear sky
162,Faanui,PF,2022-02-03 02:21:55,-16.4833,-151.75,81.37,76,11,18.25,few clouds
163,Belmonte,BR,2022-02-03 02:21:55,-15.8631,-38.8828,79.3,81,100,5.93,overcast clouds
164,Moron,AR,2022-02-03 02:21:56,-34.6534,-58.6198,80.98,70,100,5.91,light rain
165,Kuantan,MY,2022-02-03 02:21:57,3.8077,103.326,82.51,78,20,6.91,light rain
166,Berlevag,NO,2022-02-03 02:21:57,70.8578,29.0864,26.8,65,100,13.06,light snow
167,Kavaratti,IN,2022-02-03 02:21:58,10.5669,72.642,79.72,71,13,9.62,few clouds
168,Elko,US,2022-02-03 02:21:58,41.0002,-115.5012,23.02,50,68,4.0,broken clouds
169,Saint-Joseph,RE,2022-02-03 02:21:59,-21.3667,55.6167,77.38,91,100,31.9,heavy intensity rain
170,Juneau,US,2022-02-03 02:21:59,58.3019,-134.4197,28.85,93,100,6.91,mist
171,Port Lincoln,AU,2022-02-03 02:22:00,-34.7333,135.8667,66.63,56,43,15.41,scattered clouds
172,Progreso,MX,2022-02-03 02:22:01,21.2833,-89.6667,82.51,63,1,12.37,clear sky
173,Ancud,CL,2022-02-03 02:18:41,-41.8697,-73.8203,57.42,90,75,3.67,broken clouds
174,Abu Dhabi,AE,2022-02-03 02:20:25,24.4667,54.3667,64.96,75,0,2.3,clear sky
175,Sur,OM,2022-02-03 02:22:02,22.5667,59.5289,70.65,57,1,18.25,clear sky
176,Mabaruma,GY,2022-02-03 02:22:03,8.2,-59.7833,73.45,87,0,3.31,clear sky
177,Kalabo,ZM,2022-02-03 02:22:04,-14.97,22.6814,66.54,96,100,3.94,moderate rain
178,Nova Venecia,BR,2022-02-03 02:22:05,-18.7106,-40.4006,73.9,96,90,1.77,overcast clouds
179,Xianyang,CN,2022-02-03 02:21:02,34.3378,108.7026,33.04,64,53,8.95,broken clouds
180,Palmer,US,2022-02-03 02:22:06,42.1584,-72.3287,39.51,81,75,0.0,broken clouds
181,Grand Gaube,MU,2022-02-03 02:22:06,-20.0064,57.6608,79.38,87,100,20.0,light rain
182,La Ronge,CA,2022-02-03 02:22:07,55.1001,-105.2842,-21.75,69,0,3.44,clear sky
183,Namibe,AO,2022-02-03 02:22:08,-15.1961,12.1522,71.26,73,44,8.03,scattered clouds
184,Isangel,VU,2022-02-03 02:22:08,-19.55,169.2667,89.71,70,75,4.61,broken clouds
185,Te Anau,NZ,2022-02-03 02:22:09,-45.4167,167.7167,60.93,79,100,3.87,overcast clouds
186,Alice Springs,AU,2022-02-03 02:23:08,-23.7,133.8833,71.15,60,100,16.11,overcast clouds
187,Mahebourg,MU,2022-02-03 02:23:10,-20.4081,57.7,79.25,94,75,25.32,heavy intensity rain
188,Dabat,ET,2022-02-03 02:23:10,12.9842,37.765,53.04,64,22,3.8,few clouds
189,Bogovarovo,RU,2022-02-03 02:23:11,58.9785,47.0246,11.79,99,100,5.01,overcast clouds
190,Tommot,RU,2022-02-03 02:23:11,58.9564,126.2925,-7.53,92,100,8.3,overcast clouds
191,Pervomayskoye,RU,2022-02-03 02:23:12,43.919,46.7102,38.05,95,59,7.34,broken clouds
192,Arraial Do Cabo,BR,2022-02-03 02:19:21,-22.9661,-42.0278,75.4,88,100,4.12,overcast clouds
193,Thompson,CA,2022-02-03 02:23:12,55.7435,-97.8558,-14.64,76,20,13.8,few clouds
194,Bairiki,KI,2022-02-03 02:23:13,1.3292,172.9752,84.2,84,20,2.3,light rain
195,Narsaq,GL,2022-02-03 02:23:14,60.9167,-46.05,5.22,59,100,13.89,overcast clouds
196,Carnarvon,AU,2022-02-03 02:23:14,-24.8667,113.6333,98.67,26,6,17.27,clear sky
197,Vao,NC,2022-02-03 02:21:12,-22.6667,167.4833,78.76,71,100,9.01,overcast clouds
198,Sao Filipe,CV,2022-02-03 02:23:15,14.8961,-24.4956,73.78,75,0,11.88,clear sky
199,Ambilobe,MG,2022-02-03 02:23:15,-13.2,49.05,72.82,95,100,1.66,overcast clouds
200,Hobyo,SO,2022-02-03 02:23:16,5.3505,48.5268,77.59,73,100,17.74,overcast clouds
201,Gimli,CA,2022-02-03 02:23:16,50.6336,-96.9907,-16.58,63,17,4.61,few clouds
202,Duiwelskloof,ZA,2022-02-03 02:23:17,-23.6934,30.14,68.05,70,7,4.56,clear sky
203,Brigantine,US,2022-02-03 02:23:17,39.4101,-74.3646,43.0,97,94,3.62,overcast clouds
204,Lata,PT,2022-02-03 02:23:18,40.1629,-8.3327,45.05,77,92,1.03,overcast clouds
205,Tecoanapa,MX,2022-02-03 02:23:18,16.5167,-98.75,76.1,68,0,6.11,clear sky
206,Praya,CV,2022-02-03 02:23:19,14.9215,-23.5087,73.94,56,2,21.85,clear sky
207,Marsh Harbour,BS,2022-02-03 02:23:19,26.5412,-77.0636,71.01,70,53,20.74,broken clouds
208,Churapcha,RU,2022-02-03 02:23:20,62.0025,132.4325,-26.95,95,100,2.24,overcast clouds
209,Kathu,TH,2022-02-03 02:23:21,7.9178,98.3332,85.62,75,91,12.35,overcast clouds
210,Hasaki,JP,2022-02-03 02:20:45,35.7333,140.8333,50.29,40,100,8.88,overcast clouds
211,Mutis,CO,2022-02-03 02:23:22,6.2262,-77.4044,77.85,84,8,1.68,clear sky
212,Matay,EG,2022-02-03 02:23:22,28.419,30.7792,53.35,36,0,9.15,clear sky
213,Biloela,AU,2022-02-03 02:23:23,-24.4167,150.5,81.59,71,97,10.31,overcast clouds
214,Flinders,AU,2022-02-03 02:23:23,-34.5833,150.8552,72.81,63,66,16.33,broken clouds
215,Marawi,PH,2022-02-03 02:23:24,7.9986,124.2928,72.64,72,100,3.18,overcast clouds
216,Chara,RU,2022-02-03 02:23:24,56.9064,118.2631,-18.0,89,84,1.16,broken clouds
217,Pontianak,ID,2022-02-03 02:23:25,-0.0333,109.3333,82.38,78,20,3.44,few clouds
218,Beringovskiy,RU,2022-02-03 02:23:26,63.05,179.3167,8.62,76,100,23.44,overcast clouds
219,Saint George,US,2022-02-03 02:20:43,37.1041,-113.5841,38.62,22,0,1.01,clear sky
220,Kilimatinde,TZ,2022-02-03 02:23:26,-5.85,34.95,63.46,96,100,3.15,overcast clouds
221,Ribeira Grande,PT,2022-02-03 02:23:27,38.5167,-28.7,59.31,71,14,5.3,few clouds
222,Tena,EC,2022-02-03 02:23:27,-0.9833,-77.8167,70.21,91,99,2.84,overcast clouds
223,Cumra,TR,2022-02-03 02:23:28,37.5732,32.7745,35.74,92,96,8.86,overcast clouds
224,Mandurah,AU,2022-02-03 02:23:28,-32.55,115.7,89.15,36,0,14.97,clear sky
225,Kiama,AU,2022-02-03 02:23:29,-34.6833,150.8667,73.0,65,87,17.31,overcast clouds
226,Awjilah,LY,2022-02-03 02:23:29,29.1081,21.2869,50.63,66,15,20.27,few clouds
227,Tiksi,RU,2022-02-03 02:23:30,71.6872,128.8694,-3.53,93,100,11.05,overcast clouds
228,Kenora,CA,2022-02-03 02:23:31,49.8167,-94.4337,-13.83,70,0,10.36,clear sky
229,Phan Thiet,VN,2022-02-03 02:20:11,10.9333,108.1,83.77,54,49,6.85,scattered clouds
230,Salalah,OM,2022-02-03 02:23:31,17.0151,54.0924,75.29,23,0,6.91,clear sky
231,Gogrial,SS,2022-02-03 02:23:32,8.5332,28.1004,74.08,25,19,5.03,few clouds
232,Sao Goncalo Do Amarante,BR,2022-02-03 02:23:33,-3.6072,-38.9683,81.12,89,94,5.66,overcast clouds
233,Odweyne,SO,2022-02-03 02:24:33,9.4092,45.064,63.75,40,2,8.95,clear sky
234,Burns Lake,CA,2022-02-03 02:24:34,54.2331,-125.7533,4.42,99,89,2.95,overcast clouds
235,Lasa,IT,2022-02-03 02:24:34,46.6166,10.7002,38.28,94,48,8.16,scattered clouds
236,Los Llanos De Aridane,ES,2022-02-03 02:24:35,28.6585,-17.9182,69.12,53,0,10.0,clear sky
237,Husavik,IS,2022-02-03 02:24:35,66.0449,-17.3389,6.71,95,93,2.26,light snow
238,Kose,TR,2022-02-03 02:24:36,40.21,39.6511,36.16,98,74,5.46,broken clouds
239,Hovd,MN,2022-02-03 02:24:36,48.0056,91.6419,-5.73,96,89,1.77,overcast clouds
240,San Juan Bautista,PE,2022-02-03 02:24:37,-14.0108,-75.7358,63.23,56,7,2.68,clear sky
241,Ponta Delgada,PT,2022-02-03 02:24:38,37.7333,-25.6667,60.49,77,20,8.05,few clouds
242,Auki,SB,2022-02-03 02:24:38,-8.7676,160.7034,77.81,91,100,9.75,light rain
243,Omsukchan,RU,2022-02-03 02:24:39,62.5333,155.8,-9.98,95,73,7.49,broken clouds
244,Kirovskiy,RU,2022-02-03 02:21:07,45.0917,133.5136,5.61,87,100,7.7,overcast clouds
245,Loei,TH,2022-02-03 02:24:39,17.4167,101.5,63.77,75,80,3.71,broken clouds
246,Neuquen,AR,2022-02-03 02:24:40,-38.9516,-68.0591,78.69,44,40,3.44,scattered clouds
247,Kalabagh,PK,2022-02-03 02:24:41,32.965,71.557,50.11,69,8,6.44,clear sky
248,Half Moon Bay,US,2022-02-03 02:24:41,37.4636,-122.4286,60.31,51,0,6.91,haze
249,Xining,CN,2022-02-03 02:23:39,36.6167,101.7667,15.37,52,4,2.28,clear sky
250,Phayao,TH,2022-02-03 02:24:42,19.25,100.25,70.68,40,5,2.19,clear sky
251,Hofn,IS,2022-02-03 02:24:42,64.2539,-15.2082,30.97,57,100,7.83,overcast clouds
252,Bichena,ET,2022-02-03 02:24:43,10.45,38.2,56.84,60,100,2.46,overcast clouds
253,Winsum,NL,2022-02-03 02:24:43,53.33,6.5208,47.21,95,100,13.62,overcast clouds
254,Nome,US,2022-02-03 02:22:26,64.5011,-165.4064,10.47,57,0,32.21,clear sky
255,Saint-Francois,FR,2022-02-03 02:24:44,46.4154,3.9054,41.41,99,75,1.14,broken clouds
256,Ler,SS,2022-02-03 02:24:45,8.3018,30.1418,76.14,26,85,5.17,overcast clouds
257,Mitsamiouli,KM,2022-02-03 02:24:46,-11.3847,43.2844,81.41,78,99,8.03,overcast clouds
258,Coihaique,CL,2022-02-03 02:24:46,-45.5752,-72.0662,58.95,77,100,6.91,overcast clouds
259,Maragheh,IR,2022-02-03 02:24:46,37.3917,46.2398,23.27,80,0,2.3,clear sky
260,Torbay,CA,2022-02-03 02:24:47,47.6666,-52.7314,23.29,91,20,10.36,few clouds
