City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
33,Vaini,TO,2022-04-04 20:41:50,-21.2,-175.2,73.56,88,75,6.91
34,Nicoya,CR,2022-04-04 20:45:37,10.1483,-85.452,88.59,52,100,2.48
35,Bilibino,RU,2022-04-04 20:45:37,68.0546,166.4372,-6.32,79,48,3.15
36,Arraial Do Cabo,BR,2022-04-04 20:45:37,-22.9661,-42.0278,84.16,78,0,11.5
37,Ust-Maya,RU,2022-04-04 20:41:19,60.4167,134.5333,20.48,88,100,7.0
38,Hermanus,ZA,2022-04-04 20:42:40,-34.4187,19.2345,56.8,83,11,11.81
39,Poum,NC,2022-04-04 20:45:38,-20.2333,164.0167,80.49,85,100,27.58
40,Camocim,BR,2022-04-04 20:45:38,-2.9022,-40.8411,78.15,87,100,10.02
41,Axim,GH,2022-04-04 20:45:38,4.8699,-2.2405,81.81,82,96,10.04
42,Albany,US,2022-04-04 20:43:54,42.6001,-73.9662,50.65,48,100,1.99
43,Matagami,CA,2022-04-04 20:45:39,49.7502,-77.6328,37.51,38,0,8.05
44,Huamachuco,PE,2022-04-04 20:45:39,-7.8,-78.0667,58.5,68,99,2.71
45,Sao Filipe,CV,2022-04-04 20:45:39,14.8961,-24.4956,70.45,78,4,9.98
46,Quatre Cocos,MU,2022-04-04 20:45:39,-20.2078,57.7625,79.09,83,100,11.03
47,Busselton,AU,2022-04-04 20:45:39,-33.65,115.3333,52.02,82,0,9.01
48,Ushuaia,AR,2022-04-04 20:42:51,-54.8,-68.3,42.42,81,40,26.46
49,Nikolskoye,RU,2022-04-04 20:45:40,59.7035,30.7861,37.29,88,100,13.15
50,Prince Rupert,CA,2022-04-04 20:45:40,54.3161,-130.3201,41.09,81,100,3.44
51,Nambucca Heads,AU,2022-04-04 20:45:40,-30.65,153.0,63.18,78,0,4.47
52,Chunoyar,RU,2022-04-04 20:45:41,57.4467,97.3217,20.91,81,100,5.64
53,Airai,TL,2022-04-04 20:45:41,-8.9266,125.4092,58.19,90,50,1.32
54,Namatanai,PG,2022-04-04 20:45:41,-3.6667,152.4333,80.31,82,94,7.38
55,Kushiro,JP,2022-04-04 20:45:41,42.975,144.3747,36.99,88,0,6.6
56,Gangtok,IN,2022-04-04 20:45:42,27.3333,88.6167,59.16,87,99,1.01
57,Kommunar,RU,2022-04-04 20:45:42,59.6206,30.39,36.93,95,100,14.43
58,Victoria,HK,2022-04-04 20:40:42,22.2855,114.1577,68.95,69,48,8.01
59,Alofi,NU,2022-04-04 20:45:42,-19.0595,-169.9187,76.89,88,100,2.3
60,Mataura,NZ,2022-04-04 20:42:31,-46.1927,168.8643,57.18,70,100,2.66
61,Barrow,US,2022-04-04 20:45:42,71.2906,-156.7887,-5.78,71,100,17.27
62,Lebanon,US,2022-04-04 20:43:08,36.2081,-86.2911,73.62,37,0,0.0
63,Alghero,IT,2022-04-04 20:45:43,40.5589,8.3181,50.09,66,0,6.91
64,Saint George,US,2022-04-04 20:44:31,37.1041,-113.5841,78.8,16,0,10.0
65,Mar Del Plata,AR,2022-04-04 20:42:25,-38.0023,-57.5575,71.62,63,0,11.5
66,Pevek,RU,2022-04-04 20:45:43,69.7008,170.3133,-16.89,96,32,3.53
67,Salalah,OM,2022-04-04 20:44:58,17.0151,54.0924,78.89,94,0,4.61
68,Tiksi,RU,2022-04-04 20:45:43,71.6872,128.8694,-7.42,100,100,5.06
69,Chuy,UY,2022-04-04 20:41:31,-33.6971,-53.4616,62.62,53,32,9.57
70,Butaritari,KI,2022-04-04 20:41:37,3.0707,172.7902,81.68,79,30,14.09
71,Ketchikan,US,2022-04-04 20:41:21,55.3422,-131.6461,46.87,53,0,12.66
72,Biltine,TD,2022-04-04 20:45:44,14.5333,20.9167,87.08,9,17,7.2
73,Yellowknife,CA,2022-04-04 20:45:44,62.456,-114.3525,37.29,51,40,16.11
74,Kisaran,ID,2022-04-04 20:45:44,2.9845,99.6158,73.08,93,100,5.01
75,Agde,FR,2022-04-04 20:42:24,43.3108,3.4758,49.86,60,0,8.05
76,Praia Da Vitoria,PT,2022-04-04 20:45:44,38.7333,-27.0667,61.75,82,40,4.03
77,Ponta Do Sol,PT,2022-04-04 20:41:25,32.6667,-17.1,57.83,73,48,12.37
78,Seda,LV,2022-04-04 20:45:45,57.65,25.75,35.06,93,100,14.38
79,Chokurdakh,RU,2022-04-04 20:45:45,70.6333,147.9167,-15.27,100,92,8.41
80,Hovd,MN,2022-04-04 20:45:45,48.0056,91.6419,42.8,36,100,6.42
81,Kodiak,US,2022-04-04 20:41:22,57.79,-152.4072,38.71,52,0,14.97
82,Huilong,CN,2022-04-04 20:45:45,31.8111,121.655,50.94,77,100,10.16
83,Bengkulu,ID,2022-04-04 20:45:46,-3.8004,102.2655,75.61,84,73,4.76
84,Saint-Ambroise,CA,2022-04-04 20:45:46,48.5501,-71.3324,43.34,44,92,14.97
